车型,风扇型号,转速(RPM),风量(CFM),噪音(dB),市占率,达标率,测试时间
VAN-长轴距版,Blade-A0.0,2852,640,126.2,15%,60.7,2026-06
VAN-长轴距版,Blade-A0.0,2852,800,125.2,22%,62.2,2026-06
VAN-长轴距版,Blade-A0.0,2852,1000,126.0,8%,61.0,2026-06
VAN-长轴距版,Blade-A0.0,2852,1280,127.6,15%,58.6,2026-06
VAN-长轴距版,Blade-A0.0,2852,1600,127.5,22%,58.75,2026-06
VAN-长轴距版,Blade-A0.0,2852,2000,125.6,22%,61.6,2026-06
VAN-长轴距版,Blade-A0.0,2852,2520,125.2,22%,62.2,2026-06
VAN-长轴距版,Blade-A0.0,2852,3200,123.1,35%,65.35,2026-06
VAN-长轴距版,Blade-A0.0,2852,4000,121.3,22%,68.05,2026-06
VAN-长轴距版,Blade-A0.0,2852,5040,119.5,15%,70.75,2026-06
VAN-长轴距版,Blade-A0.0,2852,6400,117.2,22%,74.2,2026-06
VAN-长轴距版,Blade-A0.0,2852,8000,115.4,35%,76.9,2026-06
VAN-长轴距版,Blade-A0.0,2852,10000,112.2,22%,81.7,2026-06
VAN-长轴距版,Blade-A0.0,2852,12800,108.7,22%,86.95,2026-06
VAN-长轴距版,Blade-A0.0,2220,400,126.4,8%,60.4,2026-06
VAN-长轴距版,Blade-A0.0,2220,504,127.7,8%,58.45,2026-06
VAN-长轴距版,Blade-A0.0,2220,640,128.1,35%,57.85,2026-06
VAN-长轴距版,Blade-A0.0,2220,800,127.0,8%,59.5,2026-06
VAN-长轴距版,Blade-A0.0,2220,1000,126.1,15%,60.85,2026-06
VAN-长轴距版,Blade-A0.0,2220,1280,127.0,8%,59.5,2026-06
VAN-长轴距版,Blade-A0.0,2220,1600,126.6,35%,60.1,2026-06
VAN-长轴距版,Blade-A0.0,2220,2000,124.1,22%,63.85,2026-06
VAN-长轴距版,Blade-A0.0,2220,2520,123.2,8%,65.2,2026-06
VAN-长轴距版,Blade-A0.0,2220,3200,121.1,22%,68.35,2026-06
VAN-长轴距版,Blade-A0.0,2220,4000,119.6,15%,70.6,2026-06
VAN-长轴距版,Blade-A0.0,2220,5040,118.0,15%,73.0,2026-06
VAN-长轴距版,Blade-A0.0,2220,6400,116.5,15%,75.25,2026-06
VAN-长轴距版,Blade-A0.0,2220,8000,113.1,8%,80.35,2026-06
VAN-长轴距版,Blade-A0.0,2220,10000,111.1,8%,83.35,2026-06
VAN-长轴距版,Blade-A0.0,1584,160,118.1,22%,72.85,2026-06
VAN-长轴距版,Blade-A0.0,1584,200,119.3,8%,71.05,2026-06
VAN-长轴距版,Blade-A0.0,1584,252,122.8,8%,65.8,2026-06
VAN-长轴距版,Blade-A0.0,1584,320,124.8,8%,62.8,2026-06
VAN-长轴距版,Blade-A0.0,1584,400,127.0,35%,59.5,2026-06
VAN-长轴距版,Blade-A0.0,1584,504,128.6,22%,57.1,2026-06
VAN-长轴距版,Blade-A0.0,1584,640,129.1,35%,56.35,2026-06
VAN-长轴距版,Blade-A0.0,1584,800,127.9,22%,58.15,2026-06
VAN-长轴距版,Blade-A0.0,1584,1000,125.5,8%,61.75,2026-06
VAN-长轴距版,Blade-A0.0,1584,1280,124.0,8%,64.0,2026-06
VAN-长轴距版,Blade-A0.0,1584,1600,123.7,35%,64.45,2026-06
VAN-长轴距版,Blade-A0.0,1584,2000,121.4,15%,67.9,2026-06
VAN-长轴距版,Blade-A0.0,1584,2520,120.3,35%,69.55,2026-06
VAN-长轴距版,Blade-A0.0,1584,3200,119.2,35%,71.2,2026-06
VAN-长轴距版,Blade-A0.0,1584,4000,117.8,35%,73.3,2026-06
VAN-长轴距版,Blade-A0.0,1584,5040,116.2,8%,75.7,2026-06
VAN-长轴距版,Blade-A0.0,1584,6400,114.8,22%,77.8,2026-06
VAN-长轴距版,Blade-A0.0,1584,8000,112.1,35%,81.85,2026-06
VAN-长轴距版,Blade-A0.0,1584,10000,109.6,15%,85.6,2026-06
VAN-长轴距版,Blade-A0.0,1268,160,117.2,22%,74.2,2026-06
VAN-长轴距版,Blade-A0.0,1268,200,118.6,22%,72.1,2026-06
VAN-长轴距版,Blade-A0.0,1268,252,122.8,8%,65.8,2026-06
VAN-长轴距版,Blade-A0.0,1268,320,125.0,35%,62.5,2026-06
VAN-长轴距版,Blade-A0.0,1268,400,127.3,22%,59.05,2026-06
VAN-长轴距版,Blade-A0.0,1268,504,129.1,35%,56.35,2026-06
VAN-长轴距版,Blade-A0.0,1268,640,129.2,22%,56.2,2026-06
VAN-长轴距版,Blade-A0.0,1268,800,127.4,15%,58.9,2026-06
VAN-长轴距版,Blade-A0.0,1268,1000,124.4,8%,63.4,2026-06
VAN-长轴距版,Blade-A0.0,1268,1280,122.4,22%,66.4,2026-06
VAN-长轴距版,Blade-A0.0,1268,1600,122.4,22%,66.4,2026-06
VAN-长轴距版,Blade-A0.0,1268,2000,120.8,35%,68.8,2026-06
VAN-长轴距版,Blade-A0.0,1268,2520,119.1,8%,71.35,2026-06
VAN-长轴距版,Blade-A0.0,1268,3200,118.1,15%,72.85,2026-06
VAN-长轴距版,Blade-A0.0,1268,4000,115.6,22%,76.6,2026-06
VAN-长轴距版,Blade-A0.0,1268,5040,113.8,22%,79.3,2026-06
VAN-长轴距版,Blade-A0.0,1268,6400,110.5,35%,84.25,2026-06
VAN-长轴距版,Blade-A0.0,1268,8000,108.3,15%,87.55,2026-06
